,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,60,50,False,False,0.9829109110635651,3607.838768005371,1196.8058581352234,263942.0,1567.5188987049578,,
1,1,60,53,False,False,0.08300486174456634,3608.9982328414917,1370.8441400527954,43162.0,761.6073714136498,,
2,2,60,47,False,False,0.5701361024963691,3606.832211971283,1050.4125351905823,120825.0,1190.5315386302832,,
3,3,60,51,False,False,0.04899072127137149,3608.1955029964447,1242.1150929927826,33398.0,715.7980770400554,,
4,4,60,50,False,False,0.9664416428057881,3608.008381843567,1205.2248730659485,278887.0,1636.7601511697574,,
5,0,60,50,True,False,2.858858234987011e-05,1819.9678559303284,1055.227679014206,28710.0,690.1838498169657,,
6,1,60,53,True,False,5.2815217437620896e-05,1198.97177195549,1191.3301320075989,23946.0,699.9931859758334,,
7,2,60,47,True,False,7.30509651428743e-05,1025.9202151298523,951.4584648609161,25409.0,743.3108196579471,,
8,3,60,51,True,False,9.93454738648136e-05,2465.7275581359863,1190.210636138916,55062.0,694.3059503640516,,
9,4,60,50,True,False,3.1375447343792e-05,413.9951608181,1128.9404890537262,4600.0,611.3824353678523,,
10,0,60,101,False,True,0.0,1035.5781440734863,8648.623554229736,6099.0,841.2031730046222,,
11,1,60,106,False,True,0.0,1672.4472348690033,10640.03872513771,10788.0,840.2822905368378,,
12,2,60,94,False,True,0.019802478175817737,3605.015639066696,6534.987669944763,27002.0,884.2843072679057,,
13,3,60,102,False,True,0.0,1285.4618558883667,9131.850094795227,3100.0,851.5319058897655,,
14,4,60,101,False,True,0.0,760.7511529922485,8677.652988910675,2587.0,792.5912819165164,,
15,0,60,101,True,True,4.151119017043534e-05,2808.791435956955,2364.55504488945,12928.0,864.2056374803947,,
16,1,60,106,True,True,0.0061846293837507305,3619.0289981365204,2663.795516014099,30580.0,865.8944179939944,,
17,2,60,94,True,True,2.576632120919719e-07,3596.0917649269104,1934.4236500263214,23434.0,879.732447400399,,
18,3,60,102,True,True,0.049373849854148694,3617.8690049648285,2396.104463815689,20358.0,907.5113408997723,,
19,4,60,101,True,True,0.0,874.5628271102905,2339.033632993698,3361.0,804.3186276788002,,
20,0,65,54,False,False,0.9967886395740301,3610.499752998352,1627.9094319343567,69616.0,1864.0853499465252,,
21,1,65,50,False,False,0.9918692989778986,3601.1680240631104,1388.9733290672302,23388.0,2728.152954061225,,
22,2,65,56,False,False,0.011255772635463695,3611.727823972702,1761.0282928943634,40734.0,750.2328646794607,,
23,3,65,52,False,False,,,,,,,
24,4,65,52,False,False,0.9971954466654156,3609.3919608592987,1467.932744026184,241487.0,1941.2031488576304,,
25,0,65,54,True,False,0.0011426178800521083,3606.158544063568,1409.9834439754486,49057.0,723.659504666444,,
26,1,65,50,True,False,0.0,2754.8125660419464,1247.9959590435028,33957.0,667.8894047759741,,
27,2,65,56,True,False,0.06616558205460744,3606.128457069397,1471.633141040802,48916.0,769.6600725705134,,
28,3,65,52,True,False,5.8241647927770065e-05,2673.056693792343,1310.5302140712738,58646.0,721.2702936243219,,
29,4,65,52,True,False,0.016131796043176945,3605.4341678619385,1275.4783117771149,37873.0,780.3598289801934,,
30,0,65,109,False,True,0.0,3119.1269578933716,12402.5176820755,21615.0,907.2960057481051,,
31,1,65,101,False,True,0.0,602.4108469486237,9311.62950706482,2525.0,796.3213838365673,,
32,2,65,112,False,True,0.0,968.6589350700378,13888.551711082458,2487.0,898.3573700044923,,
33,3,65,104,False,True,0.0,1116.1307179927826,10452.632467269897,7201.0,869.416483546252,,
34,4,65,104,False,True,0.0,1101.9550280570984,10290.94140291214,2995.0,928.0872060235679,,
35,0,65,109,True,True,0.01803788997867534,3621.2359340190887,3277.779674053192,19601.0,929.0978429832969,,
36,1,65,101,True,True,0.0,1126.9146790504456,2626.830743074417,7390.0,830.1202180160735,,
37,2,65,112,True,True,0.015814917004600887,3622.438570022583,3459.3003368377686,18809.0,923.5546810109623,,
38,3,65,104,True,True,1.9016988109348096e-05,2398.623079061508,2823.166484117508,12878.0,887.6970117447961,,
39,4,65,104,True,True,0.028962212126688907,3619.105371952057,2830.2830140590668,16064.0,969.2715792904327,,
40,0,70,53,False,False,0.5693498393625821,3609.79030585289,1727.7241339683533,98796.0,1280.7536442856533,,
41,1,70,64,False,False,,,,,,,
42,2,70,53,False,False,0.988813971860633,3610.0269730091095,1718.0584421157837,75506.0,2497.123268529235,,
43,3,70,58,False,False,0.8476238987798574,3612.7273268699646,2139.2785398960114,158450.0,2108.2690206096568,,
44,4,70,60,False,False,0.9970200024083946,3613.6916019916534,2324.121233224869,61850.0,2046.5689166513419,,
