,Instance,n_N,n_B,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,5.0,11.0,0.4869593502126833,3600.0368509292603,0.47968316078186035,6777428.0,232.07949643510128,,
1,1.0,5.0,11.0,0.0,801.9681439399719,0.4272582530975342,2082712.0,195.79792787787778,,
2,2.0,5.0,11.0,0.0,14.91698694229126,0.4838380813598633,4504.0,231.74174658731053,,
3,3.0,5.0,9.0,0.0,1.6709330081939697,0.3513219356536865,877.0,235.13047468082402,,
4,4.0,5.0,10.0,0.0,2828.039268016815,0.34366321563720703,8290807.0,176.45200243183174,,
5,5.0,5.0,10.0,0.0,1.2034120559692383,0.4027671813964844,208.0,214.66510722879474,,
6,6.0,5.0,10.0,0.0,0.6797409057617188,0.3517460823059082,147.0,249.8712390502474,,
7,7.0,5.0,11.0,0.0,5.443688154220581,0.4707357883453369,1218.0,211.53939628509463,,
8,8.0,5.0,10.0,0.3477899217621523,3600.0404109954834,0.3986198902130127,10622125.0,224.0892419404591,,
9,9.0,5.0,8.0,0.0,0.7727189064025879,0.22714591026306152,213.0,185.96843459055935,,
10,0.0,10.0,21.0,0.0,34.63970112800598,3.0226669311523438,3841.0,299.75349104719294,,
11,1.0,10.0,21.0,0.0,17.681364059448242,2.9009499549865723,1865.0,303.92601427047003,,
12,2.0,10.0,15.0,0.0,16.780423879623413,1.628098726272583,859.0,351.1377128920427,,
13,3.0,10.0,19.0,0.0,29.32674813270569,2.491248846054077,2845.0,302.47109136165767,,
14,4.0,10.0,20.0,0.0,84.55290484428406,2.8420798778533936,7032.0,334.0457418463016,,
15,5.0,10.0,21.0,0.8437585129649943,3600.1093230247498,2.9255669116973877,3105403.0,344.74144869183124,,
16,6.0,10.0,17.0,0.0,19.621522903442383,1.9556210041046143,1934.0,279.713313351281,,
17,7.0,10.0,21.0,0.8579873297745201,3600.14186501503,2.962491035461426,2425368.0,311.3957342413666,,
18,8.0,10.0,20.0,0.8449545885248846,3600.0953481197357,2.6841259002685547,2886139.0,338.66973979536,,
19,9.0,10.0,21.0,0.7333921573723561,3600.115191936493,2.984482765197754,2272397.0,341.2497319376374,,
20,0.0,20.0,35.0,0.016739573120052764,3600.551630973816,16.386085033416748,48654.0,448.0499801729497,,
21,1.0,20.0,35.0,0.0,843.517972946167,16.202040672302246,30596.0,409.4877229326137,,
22,2.0,20.0,35.0,0.0,198.54319405555725,16.108027696609497,7775.0,445.65583090319745,,
23,3.0,20.0,38.0,0.0,166.89438796043396,19.336913108825684,8211.0,448.4447508587297,,
24,4.0,20.0,40.0,0.0,2947.7526738643646,21.29706907272339,118449.0,483.4696029871347,,
25,5.0,20.0,36.0,0.0,678.849014043808,17.40299105644226,10319.0,468.03351113529095,,
