,Instance,n_N,n_B,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,80.0,127.0,0.02797569577421049,3625.415024995804,1080.1860389709473,9214.0,974.9880635635632,,
1,1.0,80.0,125.0,0.0433334522858568,3602.9188089370728,998.534451007843,26514.0,1022.6775677105942,,
2,2.0,80.0,145.0,0.030916506145965365,3603.13579082489,1315.3597741127014,8673.0,1004.3982285949103,,
3,3.0,80.0,135.0,0.0468071865186652,3603.2680189609528,1099.3092007637024,17377.0,1075.7617764932234,,
4,4.0,80.0,135.0,0.05022012907620419,3603.46190905571,1094.1248676776886,12967.0,955.8179079766437,,
5,5.0,80.0,142.0,0.6182528569676208,3606.301878929138,1317.9980421066284,5306.0,2498.8861616399167,,
6,6.0,80.0,137.0,0.15292765349096754,3603.6527230739594,1244.786889076233,11494.0,1176.4508653490734,,
7,7.0,80.0,127.0,0.16623605111836562,3603.784583091736,1096.6836650371552,17264.0,1152.0403981922427,,
8,8.0,80.0,139.0,0.22804464758569587,3605.3066868782043,1282.0048940181732,25743.0,1266.8355509903645,,
9,9.0,80.0,138.0,0.2625661171711686,3645.450133085251,1290.235719203949,21336.0,1306.2503519158006,,
