,Instance,n_N,n_B,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,5.0,11.0,6.750456913003007e-05,1.6399259567260742,0.5514729022979736,18.0,232.228292961853,,
1,1.0,5.0,11.0,0.0,1.3857779502868652,0.48594021797180176,92.0,195.89539969057614,,
2,2.0,5.0,11.0,1.559246750317994e-07,2.4589030742645264,0.5714981555938721,189.0,229.86175174985112,,
3,3.0,5.0,9.0,1.0700771809033973e-08,1.7425110340118408,0.4066181182861328,20.0,235.1304776123284,,
4,4.0,5.0,10.0,0.0,0.8066608905792236,0.5177490711212158,39.0,176.64321872969631,,
5,5.0,5.0,10.0,2.4926355211066207e-07,1.6401948928833008,0.49222493171691895,7.0,214.66516433077217,,
6,6.0,5.0,10.0,1.875734129896358e-07,0.5981040000915527,0.4975881576538086,1.0,249.87129790290473,,
7,7.0,5.0,11.0,2.0528526196806614e-07,2.265674114227295,0.5971410274505615,405.0,211.5417155891848,,
8,8.0,5.0,10.0,1.0362104613939722e-07,1.004183053970337,0.5359899997711182,34.0,224.2300611932792,,
9,9.0,5.0,8.0,1.9664933523427163e-07,0.8212881088256836,0.38135695457458496,58.0,185.96847426534825,,
10,0.0,10.0,21.0,5.095778142240355e-09,12.250308990478516,3.341744899749756,1702.0,299.78099231733637,,
11,1.0,10.0,21.0,0.0,4.124562978744507,3.259148120880127,172.0,304.05553061337497,,
12,2.0,10.0,15.0,0.0,4.102236986160278,1.7665069103240967,290.0,351.1971768987824,,
13,3.0,10.0,19.0,3.491380779667364e-07,2.663398027420044,2.7956361770629883,65.0,302.56326988829125,,
14,4.0,10.0,20.0,0.0,9.09576678276062,2.6597137451171875,911.0,334.0541682711948,,
15,5.0,10.0,21.0,6.04562246367223e-08,9.436408042907715,2.8080646991729736,1003.0,342.7572176413042,,
16,6.0,10.0,17.0,0.0,11.426541090011597,2.6632912158966064,912.0,279.76936727438783,,
17,7.0,10.0,21.0,0.0,10.990910053253174,3.5299580097198486,1379.0,310.2232862907657,,
18,8.0,10.0,20.0,2.142524424231294e-06,9.05812406539917,2.89491605758667,764.0,339.53421643951066,,
19,9.0,10.0,21.0,0.0,12.109894037246704,3.2200818061828613,409.0,341.3077418651308,,
20,0.0,20.0,35.0,2.0772581617664204e-07,180.3430380821228,14.587238073348999,2532.0,447.9245224229427,,
21,1.0,20.0,35.0,0.0,196.63447618484497,12.966769218444824,1883.0,409.80352705237505,,
22,2.0,20.0,35.0,0.0,31.06864905357361,11.183576822280884,933.0,445.6811693025732,,
