,Instance,n_N,n_B,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0.0,5.0,11.0,0.0,12.998208999633789,0.7720131874084473,2572.0,213.8839246004671,,
1,1.0,5.0,11.0,1.1569376189849606e-08,2.044295072555542,0.7356600761413574,408.0,178.40355320700422,,
2,2.0,5.0,11.0,2.625708212092488e-07,4.920470952987671,0.8077828884124756,1097.0,217.84913505334757,,
3,3.0,5.0,9.0,1.0269752285875691e-05,2.3715028762817383,0.5535149574279785,715.0,207.97356422036816,,
4,4.0,5.0,10.0,0.0,1.7151739597320557,0.7097210884094238,307.0,172.69660655578474,,
5,5.0,5.0,10.0,3.5504501667394824e-08,1.9525368213653564,0.6152770519256592,444.0,201.96947439640746,,
6,6.0,5.0,10.0,0.0,2.988326072692871,0.6947388648986816,1107.0,247.38731972421056,,
7,7.0,5.0,11.0,1.2904931624379703e-08,2.3966500759124756,0.7391481399536133,679.0,181.5119551006581,,
8,8.0,5.0,10.0,8.871158890847127e-09,1.8600990772247314,0.6811270713806152,269.0,202.1923505399752,,
9,9.0,5.0,8.0,0.0,1.3996999263763428,0.4292261600494385,210.0,181.97047305402424,,
10,0.0,10.0,21.0,0.0,49.61911416053772,5.2248780727386475,1121.0,276.9340911401762,,
11,1.0,10.0,21.0,9.302927923852886e-07,10.724808931350708,5.044392824172974,1273.0,298.8101195163149,,
12,2.0,10.0,15.0,2.5696731342475283e-06,32.20716309547424,2.8506507873535156,603.0,342.23321952406747,,
13,3.0,10.0,19.0,0.0,30.62969207763672,4.371488809585571,1863.0,294.94779387703556,,
14,4.0,10.0,20.0,1.4931659963705113e-08,42.4474880695343,4.891901969909668,1843.0,319.50422741368646,,
15,5.0,10.0,21.0,3.310536892881653e-07,11.773601055145264,5.43507719039917,1354.0,330.81120972216917,,
16,6.0,10.0,17.0,2.4548269149890937e-06,48.60888409614563,3.481266975402832,2726.0,265.16895451753606,,
17,7.0,10.0,21.0,3.689364074257675e-09,87.28622698783875,5.444797992706299,2904.0,299.97308710498555,,
18,8.0,10.0,20.0,0.0,37.29040503501892,4.689194917678833,1182.0,329.1361240574286,,
19,9.0,10.0,21.0,0.0,16.055776119232178,5.314458847045898,1496.0,331.4316384918993,,
20,0.0,20.0,35.0,0.0034195086979649323,3600.502849817276,28.491599798202515,65063.0,432.13298194868725,,
21,1.0,20.0,35.0,0.010730028723122589,3600.448674917221,31.181648015975952,45382.0,398.95812462113076,,
